"","Year","Film"
"1","1961","Gunga Jumna"
"2","1962","Anpadh"
"3","1963","Nartaki"
"4","1964","Jahanara"
"5","1964","Ganga Ki Lahren"
"6","1967","Farz"
"7","1967","Patthar Ke Sanam"
"8","1967","Upkar"
"9","1969","Aaya Sawan Jhoomke"
"10","1969","Anjaan Hai Koyee"
"11","1969","Jyoti"
"12","1969","Samay Bada Balwan"
"13","1970","Humjoli"
"14","1970","Aan Milo Sajna"
"15","1971","Naya Zamana"
"16","1971","Man Mandir"
"17","1971","Ek Paheli"
"18","1971","Sanjog"
"19","1971","Johar Mehmood in Hong Kong"
"20","1971","Ek Naari Ek Brahmchari"
"21","1971","Caravan"
"22","1971","Buddha Mil Gaya"
"23","1971","Andaz"
"24","1972","Garam Masala"
"25","1972","Bombay to Goa"
"26","1973","Bobby"
"27","1973","Do Phool"
"28","1974","Prem Nagar"
"29","1974","Roti Kapda Aur Makaan"
"30","1975","Mili"
"31","1975","Do Jasoos"
"32","1975","Khel Khel Mein"
"33","1975","Deewaar"
"34","1976","Bhanwar"
"35","1976","Charas"
"36","1976","Sangram"
"37","1976","Fakira"
"38","1976","Zindagi"
"39","1976","Laila Majnu"
"40","1977","Duniyadaari"
"41","1978","Shalimar"
"42","1979","Jaani Dushman"
"43","1979","Kartavya"
"44","1979","Surakshaa"
"45","1980","Aas Paas"
"46","1980","Hum Paanch"
"47","1980","Judaai"
"48","1980","Kali Ghata"
"49","1980","Karz"
"50","1980","Morcha"
"51","1980","Phir Wohi Raat"
"52","1980","Qurbani"
"53","1981","Rocky"
"54","1981","Love Story"
"55","1981","Yaarana"
"56","1981","Kudarat"
"57","1981","Ammaykkorumma"
"58","1981","Lawaaris"
"59","1982","Angoor"
"60","1982","Bemisal"
"61","1982","Braj Bhoomi"
"62","1983","Bade Dil Wala"
"63","1984","Pet Pyaar Aur Paap"
"64","1984","Ghar Ek Mandir"
"65","1985","Bhago Bhut Aaya"
"66","1985","Dikri Chaali Sasariye"
"67","1985","Lallu Ram"
"68","1986","Naache Mayuri"
"69","1987","Diyavaan"
"70","1988","Shahenshah"
"71","1989","Chaalbaaz"
"72","1990","Doodh Ka Karz"
"73","1990","Bandh Darwaza"
"74","1991","Phool Aur Kaante"
"75","1992","Beta"
"76","1992","Umar 55 Ki Dil Bachpan Ka"
"77","1993","Annayya"
"78","1993","Hum Hain Kamaal Ke"
"79","1994","Raja Babu"
"80","1994","Suhaag"
"81","1995","Bewafa Sanam"
"82","1996","Indian"
"83","1996","Chhote Sarkar"
"84","1997","Hameshaa"
"85","1997","Dil To Pagal Hai"
"86","1998","Saaz"
"87","1998","Kudrat"
"88","1998","Doli Saja Ke Rakhna"
"89","1999","Zulmi"
"90","1999","Haseena Maan Jaayegi"
"91","2002","Hum Tumhare Hain Sanam"
"92","2010","Khatta Meetha"
"93","2015","Mitwaa"
