"","Year","Film","Role","Notes","Language"
"1","1998","Doli Saja Ke Rakhna","Pallavi Sinha",NA,"Hindi"
"2","1999","Poovellam Kettuppar","Janaki ""Kalyani"" Kannan",NA,"Tamil"
"3","1999","Vaali","Sona","Filmfare Award for Best Female Debut – South","Tamil"
"4","2000","Kushi","Jennifer (Jenni / Selvi)","Filmfare Award for Best Actress - Tamil","Tamil"
"5","2000","Mugavaree","Viji",NA,"Tamil"
"6","2000","Rhythm","Aruna Karthikeyan",NA,"Tamil"
"7","2000","Snegithiye","Vani ""Vasu"" Subramaniyam",NA,"Tamil"
"8","2000","Thenali","Janaki",NA,"Tamil"
"9","2000","Uyirile Kalanthathu","Priya Mahalakshmi",NA,"Tamil"
"10","2001","12B","Jothika",NA,"Tamil"
"11","2001","Dumm Dumm Dumm","Ganga Veluthambi",NA,"Tamil"
"12","2001","Little John","Vani","Trilingual Film","Tamil/Hindi/English"
"13","2001","Poovellam Un Vasam","Chella","Nominated - Filmfare Award for Best Tamil Actress","Tamil"
"14","2001","Star","Preethi",NA,"Tamil"
"15","2002","Nagarahavu","Keerthi
Prema",NA,"Kannada"
"16","2002","One Two Three","Narmadha",NA,"Tamil/Telugu/Kannada"
"17","2002","Raja","Priya",NA,"Tamil"
"18","2003","Dhool","Eshwari","Nominated - Filmfare Award for Best Actress - Tamil","Tamil"
"19","2003","Kaaka Kaaka","Maaya Anbuchelvan","Nominated - Filmfare Award for Best Actress - Tamil","Tamil"
"20","2003","Priyamana Thozhi","Nandhini Ashok",NA,"Tamil"
"21","2003","Tagore","Nandini (Nandu)",NA,"Telugu"
"22","2003","Thirumalai","Swetha",NA,"Tamil"
"23","2003","Three Roses","Pooja",NA,"Tamil"
"24","2004","Arul","Kanmani Arulkumaran",NA,"Tamil"
"25","2004","Manmadhan","Mythili",NA,"Tamil"
"26","2004","Mass","Anjali",NA,"Telugu"
"27","2004","Perazhagan","Priya / Shenbagam","Dual Role Tamil Nadu State Film Award for Best Actress","Tamil"
"28","2005","Chandramukhi","Ganga Senthilnathan /Chandramukhi","Tamil Nadu State Film Award for Best Actress","Tamil"
"29","2005","Maayavi","Actress Jothika (Jo)",NA,"Tamil"
"30","2006","June R","June R.",NA,"Tamil"
"31","2006","Saravana","Sadhana",NA,"Tamil"
"32","2006","Shock","Madhurima",NA,"Telugu"
"33","2006","Sillunu Oru Kaadhal","Kunthavi Gautham",NA,"Tamil"
"34","2006","Vettaiyadu Villaiyadu","Aaradhana",NA,"Tamil"
"35","2007","Manikanda","Mahalakshmi (Maha)",NA,"Tamil"
"36","2007","Mozhi","Archana","Tamil Nadu State Film Award for Best Actress
Nominated, Filmfare Award for Best Tamil Actress","Tamil"
"37","2007","Pachaikili Muthucharam","Smitha (Geetha / Kalyani)",NA,"Tamil"
"38","2007","Rakkilippattu","Josephine",NA,"Malayalam"
"39","2009","Seetha Kalyanam","Nimisha","Nominated, Filmfare Award for Best Malayalam Actress","Malayalam"
"40","2015","36 Vayadhinile","Vasanthi Thamizhselvan","Filmfare Critics Award for Best Actress South
Nominated, Filmfare Award for Best Actress – Tamil","Tamil"
"41","2017","Magalir Mattum",NA,"Filming","Tamil"
