"","Year","Film","Role","Language","Notes"
"1","1988","Amshini","Sarada","Hindi",NA
"2","1994","Bandit Queen","Phoolan Devi","Hindi",NA
"3","1996","Khamoshi: The Musical","Flavy J. Braganza","Hindi",NA
"4","1997","Ladies Only",NA,"Hindi",NA
"5","1998","Hazaar Chaurasi Ki Maa","Somu's mother","Hindi",NA
"6","1999","Bindhaast","CBI officer","Marathi",NA
"7","1999","Samar","Dulari","Hindi",NA
"8","2001","Dhyasparva","Malati Karve","Marathi",NA
"9","2001","Shantham",NA,"Malayalam",NA
"10","2002","Deewangee","Psychiatrist","Hindi",NA
"11","2002","Company","Ranibai","Hindi",NA
"12","2002","Ghaav: The Wound","Tanya","Hindi",NA
"13","2003","Boom","Bharti","Hindi, English",NA
"14","2003","Bhoot","Bai","Hindi",NA
"15","2003","Iyarkai","Mercy -Sister-in-law of Nancy","Tamil",NA
"16","2003","Pinjar","Mad woman","Hindustani, Punjabi",NA
"17","2004","Kaya Taran","Sister Agatha","Hindi",NA
"18","2004","Dobara",NA,"Hindi",NA
"19","2004","Ek Hasina Thi","ACP Malti Vaidya","Hindi, English",NA
"20","2004","Hanan","Mrs. Heeralal","Hindi, Bengali, English",NA
"21","2005","Water","Shakuntala","English, Hindi",NA
"22","2005","Mumbai Godfather",NA,"Hindi",NA
"23","2005","The White Land","Sudha's mother","Hindi",NA
"24","2006","Vivah","Rama","Hindi",NA
"25","2006","Shoonya","Pradhan","Hindi",NA
"26","2006","Thalaimagan","Alankaram","Tamil",NA
"27","2006","Zindaggi Rocks",NA,"Hindi",NA
"28","2007","Sofia","The Madam",NA,NA
"29","2007","Kamagata Maru",NA,NA,NA
"30","2007","Risk","Devki Wardhan",NA,NA
"31","2007","Amal","Sapna Agarwal","English, Hindi",NA
"32","2008","Striker","Siddharth's mother","Hindi",NA
"33","2008","Shaurya","Captain Javed Khan's mother","Hindi",NA
"34","2008","Heaven on Earth",NA,"English, Punjabi",NA
"35","2009","Cooking with Stella","Stella","English, Hindi",NA
"36","2009","Yeh Mera India","Bai","Hindi",NA
"37","2010","Lalbaug Parel","Mother","Marathi",NA
"38","2010","City of Gold","Aai","Hindi",NA
"39","2011","Queens! Destiny of Dance","Amma","Hindi",NA
"40","2011","Patang","Sudha","Hindi, Gujarati, English",NA
"41","2012","Midnight's Children","Mary","English",NA
"42","2014","Chaarfutiya Chhokare","Janki","Hindi",NA
"43","2014","Manjunath","Manjunath's Mother","Hindi",NA
"44","2014","Sold","Amma","English",NA
"45","2014","Balyakalasakhi","Selvi","Malayalam",NA
"46","2014","Endless Summer",NA,"Malayalam",NA
"47","2016","Kothanodi","Dhoneshwari","Assamese",NA
"48","2016","A Yellow Bird","Siva's mother",NA,NA
"49","2016","Freaky Ali","Ali's Mother","Hindi",NA
"50","2016","Anatomy of Violence",NA,"Hindi",NA
