"","Year","Film","Role","Notes","Director"
"1","1980","Zaakol","Unknown","Marathi","Shreeram Lagoo"
"2","1981","Kalyug","Parikshit",NA,"Shyam Benegal"
"3","1983","Masoom","Winky",NA,"Shekhar Kapoor"
"4","1984","Bhavna","Unknown",NA,"Praveen Bhatt"
"5","1985","Sur Sangam","Unknown",NA,"Multiple directors"
"6","1987","Dacait","Shanta",NA,"Rahul Rawail"
"7","1989","Bade Ghar Ki Beti","Pushpa",NA,"Kalpataru"
"8","1989","Chanakyan","Renu","Malayalam film","Rajeev Kumar"
"9","1991","Narasimha","Meenu S. Singh",NA,"N Chandra"
"10","1992","Chamatkar","Mala",NA,"Rajiv Mehra"
"11","1992","Antham","Bhavna","Telugu film","Ram Gopal Verma"
"12","1992","Drohi","Bhavana",NA,"Ram Gopal Verma"
"13","1993","Shreemaan Aashique","Shakuntala (Shaku)",NA,"Deepak Anand"
"14","1993","Gaayam","Chitra","Telugu film","Ram Gopal Verma"
"15","1993","Bedardi","Honey",NA,"Krishnakant Pandya"
"16","1994","Kanoon","Shalu",NA,"Sushma Shiromani"
"17","1994","Aa Gale Lag Ja","Roshni",NA,"Hamid Ali"
"18","1995","Rangeela","Mili Joshi","Nominated—Filmfare Award for Best Actress","Ram Gopal Verma"
"19","1995","Thacholi Varghese Chekavar","Maya","Malayalam Film","T. K. Rajeev Kumar"
"20","1995","Money Money","Chitra","Cameo appearance in song ""Paadu Kaburu Vinagaane""","Siva Nageswara Rao"
"21","1996","Indian","Sapna","Tamil film, dubbed in Hindi as Hindustani","S Shankar"
"22","1997","Judaai","Janhvi Sahni","Nominated-Filmfare Award for Best Supporting Actress","Raj Kanwar"
"23","1997","Daud","Bhavani",NA,"Ram Gopal Verma"
"24","1997","Mere Sapno Ki Rani","Sapna",NA,"D K Raghvendra Rao"
"25","1997","Anaganaga Oka Roju","Madhu","Telugu film","Ram Gopal Verma"
"26","1997","Aflatoon","Pooja",NA,"Guddu Dhanoa"
"27","1998","Satya","Vidya","Nominated—Filmfare Award for Best Actress","Ram Gopal Verma"
"28","1998","China Gate","Unknown","Cameo appearance in song ""Chamma Chamma""","Rajkumar Santoshi"
"29","1998","Kudrat","Madhu",NA,"Raj N Sippy"
"30","1998","Chhota Chetan","Miss Hawa Hawai",NA,"Jijo Punnoose"
"31","1999","Kaun","Ms Malhotra",NA,"Ram Gopal Verma"
"32","1999","Jaanam Samjha Karo","Chandni",NA,"Andalib Majrooh Sultanpuri"
"33","1999","Hum Tum Pe Marte Hain","Radhika",NA,"Nabh Kumar Raju"
"34","1999","Mast","Mallika",NA,"Ram Gopal Verma"
"35","1999","Dillagi","Shalini",NA,"Sunny Deol"
"36","1999","Khoobsurat","Shivani",NA,"Sanjay Chhel"
"37","2000","Kunwara","Urmila Singh",NA,"David Dhawan"
"38","2000","Jungle","Anu Malhotra",NA,"Ram Gopal Verma"
"39","2000","Deewane","Sapna",NA,"Harry Baweja"
"40","2001","Pyaar Tune Kya Kiya","Ria","Nominated—Filmfare Award for Best Performance in a Negative Role","Rajat Mukherjee"
"41","2001","Lajja","Dancer","Cameo appearance in song ""Aa Hi Jaiye""","Rajkumar Santoshi"
"42","2002","Company","Unknown","Cameo appearance in song ""A Shot of Company""","Ram Gopal Verma"
"43","2002","Om Jai Jagadish","Nitu",NA,"Anupam Kher"
"44","2002","Deewangee","Sargam",NA,"Anees Bazmee"
"45","2003","Bhoot","Swati","Filmfare Critics Award for Best Actress
Nominated—Filmfare Award for Best Actress","Ram Gopal Verma"
"46","2003","Tehzeeb","Tehzeeb Mirza",NA,"Khalid Mohammad"
"47","2003","Pinjar","Puro aka Kugi / Hamida",NA,"Chandrakprakash Dwivedi"
"48","2004","Ek Hasina Thi","Sarika Vartak / Swati","Nominated—Filmfare Award for Best Actress","Sriram Raghavan"
"49","2005","Naina","Naina",NA,"Shripal Morakhia"
"50","2005","Maine Gandhi Ko Nahin Mara","Trisha",NA,"Jahnu Barua"
"51","2006","Banaras - A Mystic Love Story","Shwetamabri",NA,"Pankaj Prasar"
"52","2006","Bas Ek Pal","Anamika",NA,"Onir"
"53","2007","Aag","Unknown","Cameo appearance in song ""Mehbooba Mehbooba""","Ram Gopal Verma"
"54","2007","Speed","Richa",NA,"Vikram Bhatt"
"55","2007","Om Shanti Om","Herself","Cameo appearance in song ""Deewangi Deewangi""","Farah Khan"
"56","2008","Karzzzz","Kaamini",NA,"Satish Kaushik"
"57","2008","EMI – Liya Hai Toh Chukana Parega","Prerana Joshi",NA,"Saurabh Kabra"
"58","2011","Shabri","Unknown","Cameo appearance","Lalit Marathe"
"59","2012","Hridaynath","Unknown","Cameo appearance in song ""Yana Yana""","Amar Gupte"
"60","2012","Delhi Safari","Begum","Voice","Nikhil Advani"
"61","2013","Life Mein Hungama Hai","Unknown","Cameo appearance","Sunil Advani"
"62","2014","Ajoba","Purva","Marathi film","Sujay Dahake"
